productName,caseID,_loan.loanType,_loan.subLoanType,_loan.loanPurposeBot,_customerInfo.titleName,gender,_customerInfo.maritalStatus,_customerInfo.educationLevel,_customerInfo.residenceStatus,_customerInfo.residenceType,_loan.loanPurpose,_loan.loanRequest,_occupation.incomeAmount,_credit.expenseAmount,_customerInfo.childAmount,_customerInfo.childWorkedAmount,_occupation.periodMonth,_customerInfo.residencePeriodMonth,scheduleSettings.repaymentInstallments,_customerInfo.nationalIdNumber,_occupation.periodYear,_occupation.employType,_occupation.type,_occupation.subType,birthDate,firstName,lastName,_loan.requestDate,_loan.loanApplicationNumber
test.aScore,3737db96-7990-43c1-91ac-dc8aba6c3e30,7900,30001,15003,2102,F,SP,3,04,99,12104,67130.59468,57643.09764,44573.71121,1,1,198,372,18,3100100380241,0,FREELANCE,07,07,534877811,Somsak,somsri,1718669312,TEST-ASCORE-000001
test.aScore,026802e0-9aa2-45fb-bdc4-f53215111a6d,7900,30001,15003,2101,M,S,3,04,04,12104,27624.52216,96264.31407,72028.94235,0,0,356,326,18,3100100380241,0,FREELANCE,07,07,115357017,Somsak,somsri,1718669312,TEST-ASCORE-000001
test.aScore,a0940b03-baf9-48d0-9e20-84efec360176,7900,30001,15003,2101,M,M,3,07,02,12104,21775.36597,53150.63936,47580.77372,0,0,16,263,6,3100100380241,0,FREELANCE,08,26,1027025582,Somsak,somsri,1718669312,TEST-ASCORE-000001
test.aScore,b45f535d-fa7e-4dc5-9026-39dff4111f2b,7900,30001,15003,2101,M,W,5,01,01,12104,12309.63792,23857.16557,17626.04518,1,0,208,318,12,3100100380241,0,FREELANCE,06,15,506282658,Somsak,somsri,1718669312,TEST-ASCORE-000001
test.aScore,0596c498-0dd3-4ba8-862b-130993eb41b1,7900,30001,15003,2101,M,MN,1,08,05,12104,27413.2467,20832.58757,17453.53699,1,0,310,324,24,3100100380241,0,FREELANCE,06,34,266792819,Somsak,somsri,1718669312,TEST-ASCORE-000001
test.aScore,c1b7273c-6851-4f95-a70a-d588b8ea925d,7900,30001,15003,2103,F,MN,1,05,06,12104,24101.00276,20557.87137,16435.06189,0,0,160,423,24,3100100380241,0,FREELANCE,08,08,604692227,Somsak,somsri,1718669312,TEST-ASCORE-000001
test.aScore,6f2f09bb-5969-48d0-93a2-c96770b118d7,7900,30001,15003,2101,M,MN,9,99,06,12104,10233.73994,53095.872,42434.64698,2,0,173,330,12,3100100380241,0,FREELANCE,08,31,581561448,Somsak,somsri,1718669312,TEST-ASCORE-000001
test.aScore,4503f011-6882-4bb9-b549-9a01e3c7628e,7900,30001,15003,2101,M,W,3,07,01,12104,24129.41085,23910.41275,18195.79775,0,0,470,358,12,3100100380241,0,FREELANCE,08,26,-158862219,Somsak,somsri,1718669312,TEST-ASCORE-000001
test.aScore,f5ce05bc-52e2-4cf2-b6c0-c51833fe2bf3,7900,30001,15003,2101,M,SP,8,02,06,12104,44059.91868,27527.35625,23888.49036,0,0,65,310,12,3100100380241,0,FREELANCE,06,06,903067864,Somsak,somsri,1718669312,TEST-ASCORE-000001
test.aScore,6ac82084-68a2-458f-9b8e-1d6c58c373e9,7900,30001,15003,2101,M,W,2,01,06,12104,73513.84926,99515.85007,90284.24302,0,0,17,266,18,3100100380241,0,FREELANCE,06,21,1017939711,Somsak,somsri,1718669312,TEST-ASCORE-000001
